experiment,condition,trial,r1_named_export,r2_result,r3_test_dir,r4_camelcase,r5_types,r6_size,r7_jsdoc,r8_describe_it,r9_alias,r10_logger,total,timestamp
B1,factual,1,1,1,1,1,1,0,0,1,1,1,8,2026-04-07 14:04:42
B1,factual,2,1,1,1,1,1,1,1,1,1,1,10,2026-04-07 14:05:47
B1,factual,3,1,1,1,1,1,1,1,1,1,1,10,2026-04-07 14:07:21
B1,factual,4,1,1,1,1,1,0,1,1,1,1,9,2026-04-07 14:08:41
B1,factual,5,1,1,1,1,1,0,1,1,1,1,9,2026-04-07 14:12:03
B1,factual,6,1,1,1,1,1,1,1,1,1,1,10,2026-04-07 14:13:18
B1,factual,7,1,1,1,1,1,1,1,1,1,1,10,2026-04-07 14:14:20
B1,factual,8,1,1,1,1,1,1,1,1,1,1,10,2026-04-07 14:15:16
B1,factual,9,1,1,1,1,1,0,1,1,1,1,9,2026-04-07 14:17:19
B1,factual,10,1,1,1,1,1,0,1,1,1,1,9,2026-04-07 14:18:18
B1,imperative,1,1,1,1,1,1,0,1,1,1,1,9,2026-04-07 14:20:33
B1,imperative,2,1,1,1,1,1,0,1,1,1,1,9,2026-04-07 14:22:38
B1,imperative,3,1,1,1,1,1,1,1,1,1,1,10,2026-04-07 14:23:57
B1,imperative,4,1,1,1,1,1,0,1,1,1,1,9,2026-04-07 14:25:53
B1,imperative,5,1,1,1,1,1,0,1,1,1,1,9,2026-04-07 14:27:40
B1,imperative,6,1,1,1,1,1,0,0,1,1,1,8,2026-04-07 14:29:53
B1,imperative,7,1,1,1,1,1,0,1,1,1,1,9,2026-04-07 14:31:52
B1,imperative,8,1,1,1,1,1,0,1,1,1,1,9,2026-04-07 14:33:03
B1,imperative,9,1,1,1,1,1,1,1,1,1,1,10,2026-04-07 14:34:32
B1,imperative,10,1,1,1,1,1,0,0,1,1,1,8,2026-04-07 14:37:30
