condition,bug_id,trial,tests_pass,regression_free,bug_fixed,new_tests,tool_calls,timestamp
tdd,bug1,1,1,1,1,3,9,2026-04-08 15:58:14
tdd,bug1,2,1,1,1,2,9,2026-04-08 15:59:21
tdd,bug1,3,1,1,1,2,8,2026-04-08 16:00:12
tdd,bug1,4,1,1,1,2,10,2026-04-08 16:01:28
tdd,bug1,5,1,1,1,2,8,2026-04-08 16:02:21
tdd,bug2,1,1,1,1,1,9,2026-04-08 16:03:26
tdd,bug2,2,1,1,1,1,9,2026-04-08 16:04:17
tdd,bug2,3,1,1,1,1,8,2026-04-08 16:05:14
tdd,bug2,4,1,1,1,1,8,2026-04-08 16:06:16
tdd,bug2,5,1,1,1,1,13,2026-04-08 16:07:40
direct,bug1,1,1,1,1,0,12,2026-04-08 16:08:54
direct,bug1,2,1,1,1,3,7,2026-04-08 16:10:02
direct,bug1,3,1,1,1,0,7,2026-04-08 16:10:56
direct,bug1,4,1,1,1,0,6,2026-04-08 16:11:37
direct,bug1,5,1,1,1,2,7,2026-04-08 16:12:21
direct,bug2,1,1,1,1,1,11,2026-04-08 16:13:38
direct,bug2,2,1,1,1,0,7,2026-04-08 16:14:31
direct,bug2,3,1,1,1,1,11,2026-04-08 16:15:34
direct,bug2,4,1,1,1,1,7,2026-04-08 16:16:20
direct,bug2,5,1,1,1,0,4,2026-04-08 16:16:47
